"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","534","Create user","LMS service","Sun Dec 21 18:12:55 UTC 2025","passed","Sun Dec 21 18:12:55 UTC 2025","Create entity","Users","",""
"","24","Get file with incorrect file id","LMS service","Sun Dec 21 18:12:55 UTC 2025","passed","Sun Dec 21 18:12:55 UTC 2025","Validate entity","Files","",""
"","19","Get exercise","LMS service","Sun Dec 21 18:12:50 UTC 2025","passed","Sun Dec 21 18:12:50 UTC 2025","Get entity","Exercises","",""
"","260","Create file","LMS service","Sun Dec 21 18:12:51 UTC 2025","passed","Sun Dec 21 18:12:52 UTC 2025","Create entity","Files","",""
"","264","Create file with empty filename","LMS service","Sun Dec 21 18:12:53 UTC 2025","passed","Sun Dec 21 18:12:53 UTC 2025","Validate entity","Files","",""
"","259","Create file with empty directory","LMS service","Sun Dec 21 18:12:53 UTC 2025","passed","Sun Dec 21 18:12:53 UTC 2025","Validate entity","Files","",""
"","29","Get courses","LMS service","Sun Dec 21 18:12:47 UTC 2025","passed","Sun Dec 21 18:12:47 UTC 2025","Get entities","Courses","",""
"","299","Update course","LMS service","Sun Dec 21 18:12:48 UTC 2025","passed","Sun Dec 21 18:12:48 UTC 2025","Update entity","Courses","",""
"","16","Get file","LMS service","Sun Dec 21 18:12:52 UTC 2025","passed","Sun Dec 21 18:12:52 UTC 2025","Get entity","Files","",""
"","286","Login with correct email and password","LMS service","Sun Dec 21 18:12:46 UTC 2025","passed","Sun Dec 21 18:12:46 UTC 2025","Login","Authentication","",""
"","292","Create exercise","LMS service","Sun Dec 21 18:12:48 UTC 2025","passed","Sun Dec 21 18:12:49 UTC 2025","Create entity","Exercises","",""
"","287","Get exercises","LMS service","Sun Dec 21 18:12:51 UTC 2025","passed","Sun Dec 21 18:12:51 UTC 2025","Get entity","Exercises","",""
"","28","Create course","LMS service","Sun Dec 21 18:12:47 UTC 2025","passed","Sun Dec 21 18:12:47 UTC 2025","Create entity","Courses","",""
"","18","Delete file","LMS service","Sun Dec 21 18:12:54 UTC 2025","passed","Sun Dec 21 18:12:54 UTC 2025","Delete entity","Files","",""
"","532","Create user","LMS service","Sun Dec 21 18:12:54 UTC 2025","passed","Sun Dec 21 18:12:55 UTC 2025","Create entity","Users","",""
"","289","Update exercise","LMS service","Sun Dec 21 18:12:49 UTC 2025","passed","Sun Dec 21 18:12:50 UTC 2025","Update entity","Exercises","",""
"","287","Create user","LMS service","Sun Dec 21 18:12:55 UTC 2025","passed","Sun Dec 21 18:12:55 UTC 2025","Create entity","Users","",""
"","289","Delete exercise","LMS service","Sun Dec 21 18:12:50 UTC 2025","passed","Sun Dec 21 18:12:51 UTC 2025","Delete entity","Exercises","",""
"","12","Get user me","LMS service","Sun Dec 21 18:12:56 UTC 2025","passed","Sun Dec 21 18:12:56 UTC 2025","Get entity","Users","",""
